city,mean electirc eui,mean electric eui res,mean fuel eui,mean fuel eui res
Birmingham,143.31156315109226,21.116270784149464,25.618049172380925,
Mobile,120.40327793860303,30.169515256511758,10.227344026425952,
Montgomery,104.78297819941092,,24.80195354080451,
Huntsville,140.16393538008325,27.781260072484894,32.3823844277404,
Tuscaloosa,160.00962737701298,,36.07410577685926,
Anchorage,90.75517037514662,13.4340630507455,66.88424636832862,
Juneau,33.03197946687975,,,
Phoenix,76.5887088446575,26.895603141322688,4.228576053725516,5.881797799430806
Mesa,123.88803678928367,30.461338998448095,2.6308779542375698,0.0
Tucson,119.37053707553783,24.75373265804306,8.777518085655247,9.29824486868839
Yuma,139.60265365816178,40.36822794798184,2.7267418216160033,3.3222119613352747
Little Rock,110.74216933724068,36.93714923427134,26.681640803378343,25.018768679377956
Fayetteville,115.17432386043696,23.263998004876967,31.320575310101546,11.47826635747479
Fort Smith,79.04663936963762,,37.946754505037966,
Jonesboro,110.09728722203556,,21.670569398319415,
Conway,94.73208535269694,38.123944222490366,22.037656034237514,0.03768144762115718
Los Angeles,87.06086051452114,12.482542818894023,16.832242610861396,14.489056866031886
San Francisco,62.009912059792995,11.273362890521009,16.371552072221522,31.042032693670127
San Diego,52.79177417932458,13.641363101400524,21.45076531810487,18.47479918089598
San Jose,79.82491609998694,12.882705172745142,15.92865990016082,20.914837572378065
Denver,60.5292044684292,25.95275813415088,39.04669974027114,15.919005596626485
Colorado Springs,73.67177412447673,19.05599404547484,37.60551332600559,43.55023161115241
Fort Collins,29.39100110924267,24.702289398227876,33.549287996883855,11.749831755809891
Pueblo,114.61389173349605,,29.82102509967238,
New Haven,78.07118748689928,14.722778317547002,46.60538164105684,22.93872929351894
Bridgeport,89.63631934380406,14.650036783978633,51.325919380352076,
Hartford,43.77108788249478,13.40921530904848,34.538847910730475,23.319240693856994
Stamford,74.37463446411172,,18.012044516489166,
Waterbury,115.04106094718125,13.934902127428977,29.454678145404852,
Dover,62.78528650145905,19.47004966997087,41.378846466873846,26.942772445096946
Miami,101.59658235082564,33.908416820093464,3.6591276634658105,0.07986930295938374
