ALABAMA,3A Lee,7 Kodiak Island,3A Calhoun,3A Monroe
3A Autauga*,3A Limestone,7 Lake and Peninsula,4A Carroll,3A Montgomery
2A Baldwin*,3A Lowndes*,7 Matanuska-Susitna,3A Chicot,3A Nevada
3A Barbour*,3A Macon*,8 Nome,3A Clark,4A Newton
3A Bibb,3A Madison,8 North Slope,3A Clay,3A Ouachita
3A Blount,3A Marengo*,8 Northwest Arctic,3A Cleburne,3A Perry
3A Bullock*,3A Marion,7 Prince of Wales,3A Cleveland,3A Phillips
3A Butler*,3A Marshall,Outer Ketchikan,3A Columbia*,3A Pike
3A Calhoun,2A Mobile*,7 Sitka,3A Conway,3A Poinsett
3A Chambers,3A Monroe*,7 Skagway-Hoonah,3A Craighead,3A Polk
3A Cherokee,3A Montgomery*,Angoon,3A Crawford,3A Pope
3A Chilton,3A Morgan,8 Southeast Fairbanks,3A Crittenden,3A Prairie
3A Choctaw*,3A Perry*,7 Valdez-Cordova,3A Cross,3A Pulaski
3A Clarke*,3A Pickens,8 Wade Hampton,3A Dallas,3A Randolph
3A Clay,3A Pike*,7 Wrangell-Petersburg,3A Desha,3A Saline
3A Cleburne,3A Randolph,7 Yakutat,3A Drew,3A Scott
3A Coffee*,3A Russell*,8 Yukon-Koyukuk,3A Faulkner,4A Searcy
3A Colbert,3A Shelby,ARIZONA,3A Franklin,3A Sebastian
3A Conecuh*,3A St. Clair,5B Apache,4A Fulton,3A Sevier*
3A Coosa,3A Sumter,3B Cochise,3A Garland,3A Sharp
3A Covington*,3A Talladega,5B Coconino,3A Grant,3A St. Francis
3A Crenshaw*,3A Tallapoosa,4B Gila,3A Greene,4A Stone
3A Cullman,3A Tuscaloosa,3B Graham,3A Hempstead*,3A Union*
3A Dale*,3A Walker,3B Greenlee,3A Hot Spring,3A Van Buren
3A Dallas*,3A Washington*,2B La Paz,3A Howard,4A Washington
3A DeKalb,3A Wilcox*,2B Maricopa,3A Independence,3A White
3A Elmore*,3A Winston,3B Mohave,4A Izard,3A Woodruff
3A Escambia*,ALASKA,5B Navajo,3A Jackson,3A Yell
3A Etowah,7 Aleutians East,2B Pima,3A Jefferson,CALIFORNIA
3A Fayette,7 Aleutians West,2B Pinal,3A Johnson,3C Alameda
3A Franklin,7 Anchorage,3B Santa Cruz,3A Lafayette*,6B Alpine
3A Geneva*,8 Bethel,4B Yavapai,3A Lawrence,4B Amador
3A Greene,7 Bristol Bay,2B Yuma,3A Lee,3B Butte
3A Hale,7 Denali,ARKANSAS,3A Lincoln,4B Calaveras
3A Henry*,8 Dillingham,3A Arkansas,3A Little River*,3B Colusa
3A Houston*,8 Fairbanks North Star,3A Ashley,3A Logan,3B Contra Costa
3A Jackson,7 Haines,4A Baxter,3A Lonoke,4C Del Norte
3A Jefferson,7 Juneau,4A Benton,4A Madison,4B El Dorado
3A Lamar,7 Kenai Peninsula,4A Boone,4A Marion,3B Fresno
3A Lauderdale,7 Ketchikan Gateway,3A Bradley,3A Miller*,3B Glenn
3A Lawrence,,,3A Mississippi,
4C Humboldt,3B Yuba,5B Montrose,2A Escambia*,2A Taylor*
2B Imperial,COLORADO,5B Morgan,2A Flagler*,2A Union*
4B Inyo,5B Adams,4B Otero,2A Franklin*,2A Volusia*
3B Kern,6B Alamosa,6B Ouray,2A Gadsden*,2A Wakulla*
3B Kings,5B Arapahoe,7 Park,2A Gilchrist*,2A Walton*
4B Lake,6B Archuleta,5B Phillips,2A Glades*,2A Washington*
5B Lassen,4B Baca,7 Pitkin,2A Gulf*,GEORGIA
3B Los Angeles,5B Bent,5B Prowers,2A Hamilton*,2A Appling*
3B Madera,5B Boulder,5B Pueblo,2A Hardee*,2A Atkinson*
3C Marin,5B Broomfield,6B Rio Blanco,2A Hendry*,2A Bacon*
4B Mariposa,6B Chaffee,7 Rio Grande,2A Hernando*,2A Baker*
3C Mendocino,5B Cheyenne,7 Routt,2A Highlands*,3A Baldwin
3B Merced,7 Clear Creek,6B Saguache,2A Hillsborough*,4A Banks
5B Modoc,6B Conejos,7 San Juan,2A Holmes*,3A Barrow
6B Mono,6B Costilla,6B San Miguel,2A Indian River*,3A Bartow
3C Monterey,5B Crowley,5B Sedgwick,2A Jackson*,3A Ben Hill*
