city,state,mean site eui,mean site eui res,mean source eui,mean source eui res,CDD,HDD,Tavg,Trange,Tmax,Tmin,Prcp,Snow
Birmingham,AL,143.6476419,50.020103315436074,400.5950342,96.55702205262277,1933,2770,62.78,22.46,73.94,51.44,5712,8
Mobile,AL,107.08497849999999,50.998701660588395,315.9074426,117.94036254027884,2537,1656,67.46,18.68,76.64,58.1,6528,2
Anchorage,AK,133.1116532,55.616592333785896,270.5060111,86.47461372653328,3,10201,37.04,14.0,44.06,30.02,1667,821
Phoenix,AZ,66.83963638,34.146044625080535,200.3537353,95.2921750039577,3741,1359,71.42,34.34,88.7,54.32,876,0
Mesa,AZ,90.42759114,30.461338998448092,278.819932,95.64860445512699,3592,1462,70.88,27.68,84.56,57.02,943,0
Tucson,AZ,111.3800858,32.4129793531891,331.2889085,84.47275092717216,1946,2486,63.5,37.22,82.04,44.96,1390,23
Yuma,AZ,89.96393597,43.328681604799584,275.58844300000004,129.80251860645183,3811,1129,72.32,29.84,87.26,57.38,368,0
Little Rock,AR,124.1508758,61.01552977144426,334.4675339,139.29953694243505,2170,3006,62.78,18.68,71.96,53.24,5468,44
Fayetteville,AR,136.07864540000003,35.15519178707097,364.64534629999997,88.43843870762902,1517,4013,58.28,20.84,68.54,47.66,4553,43
Conway,AR,113.4516199,38.97974491914665,312.37262589999995,122.3963990461205,1843,3472,60.44000000000001,22.82,71.96,49.1,4908,41
Los Angeles,CA,81.08795102,27.359427223840882,220.28629730000003,54.78671895956375,1638,880,67.1,22.64,78.44,55.76,2297,0
San Francisco,CA,64.64098582,40.11088700184683,158.42825469999997,64.41536971031869,174,2701,58.1,19.4,67.82,48.38,2674,0
San Diego,CA,60.451393200000005,32.1162500967872,145.16032719999998,62.232609010638505,1241,1909,63.14,21.92,74.12,52.16,1677,1
San Jose,CA,81.37019325,34.09958826714859,222.4191151,63.06224212589425,395,2735,58.64,30.2,73.75999999999998,43.52,5048,1
Denver,CO,96.39357945,41.870882327092815,222.0623775,98.11788128048558,15,8879,40.64,31.64,56.66,24.8,1773,857
Colorado Springs,CO,109.03124479999998,63.695016065901505,263.50647200000003,106.58351429761032,6,9474,39.02,27.32,52.88,25.34,1882,249
Fort Collins,CO,65.14891293,36.452121154037755,130.8245304,89.90251205403592,250,7381,45.32,22.64,56.66,34.16,2162,1661
New Haven,CT,119.55581809999998,44.26572976595378,279.32007880000003,91.05244724164032,745,5650,51.44,18.86,60.98,42.08,5110,310
Hartford,CT,78.55122442,29.06984220835959,167.2777996,57.73600072176927,603,6318,49.28,21.92,60.26,38.48,5344,313
Dover,DE,104.3690621,44.708309592962806,241.6027338,87.17783556999142,1314,4269,56.84,18.86,66.38,47.48,4605,157
Miami,FL,80.03486685,34.65853925083789,244.49392039999998,108.66139832682123,4351,124,76.64,11.12,82.04,71.06,5710,0
Tampa,FL,77.43193431,35.78090646586644,234.08267090000004,108.67212511571543,3228,630,72.14,17.06,80.78,63.68,5262,0
Fort Lauderdale,FL,87.29557006,31.33576192103286,265.2022789,97.61237971000546,3954,194,75.38,16.34,83.48,67.28,6710,0
Jacksonville,FL,126.6015098,30.561054470053648,348.63844819999997,93.48066455811262,2803,1215,69.25999999999999,16.34,77.54,61.16,4881,-7777
Orlando,FL,80.44185203,33.310238094344285,241.47295330000003,99.39056607834213,3424,571,72.86,19.94,82.75999999999998,62.78,5073,0
Atlanta,GA,76.47264748,45.85083095009558,203.78509499999998,99.35711150587058,1336,3644,58.64,21.38,69.25999999999999,48.02,5304,4
Columbus,GA,126.28020749999999,33.53522945740505,320.6471523,66.25103997247388,2141,2354,64.4,24.08,76.46,52.34,4962,4
Savannah,GA,124.12721029999999,44.8794739553662,345.8688742,111.56316096715621,2458,1811,66.74000000000001,21.38,77.36,56.12000000000001,4796,3
Augusta,GA,97.84620379,60.29131408079871,262.7487223,141.06744073764364,2088,2470,63.86,25.880000000000006,76.82,51.08,4357,9
Honolulu,HI,58.8476797,20.101994573322738,175.6267424,57.86029931249177,3954,1,75.74000000000002,16.34,84.02,67.64,5869,0
Chicago,IL,110.22720530000001,99.3067846849386,248.33360299999998,148.31261477146788,649,6929,47.84,18.14,56.84,38.66,3817,349
Aurora,IL,101.4361324,39.03594269571832,251.9439432,67.99750566423205,890,6291,50.18,17.779999999999994,59.18,41.36,3769,271
Elgin,IL,153.032929,49.426806308619575,379.6877233,77.84338287068469,649,6929,47.84,18.14,56.84,38.66,3817,349
Indianapolis,IN,132.8775529,46.83160380911829,343.9267567,93.16828901610657,909,5704,51.98,19.04,61.34,42.44,4144,196
Fort Wayne,IN,168.4221112,40.71103947519527,410.92678060000003,78.0208451845586,809,6102,50.54,19.76,60.26,40.64,3719,264
Des Moines,IA,58.66212518,45.780387638605966,140.3748752,85.83398797203041,947,6587,49.46,22.46,60.62,38.3,3609,275
Waterloo,IA,111.11961219999999,39.478626491564896,252.50515319999997,70.23686520504852,799,7028,47.84,21.02,58.46,37.4,3460,353
Wichita,KS,150.95832099999998,290.19375777795346,394.396547,345.14794298265593,1573,4650,56.66,23.18,68.18,44.96,3596,129
Lawrence,KS,108.91759259999999,64.3443393571857,270.94227989999996,125.40061844944236,1293,5259,54.14,21.02,64.75999999999999,43.52,3778,106
Louisville,KY,120.60139869999999,48.25944593982681,314.9053863,101.07028869857344,1169,4701,55.22,24.26,67.46,43.16,4526,57
New Orleans,LA,97.24174751,53.626828877947,287.2267765,122.31662451651918,2655,1437,68.36,19.4,78.08,58.64,6250,-7777
Portland,ME,89.06410284,30.30680090457399,218.3564519,71.98930313094488,360,7106,46.58,18.68,55.76,37.22,4725,619
Augusta,ME,97.84620379,60.29131408079871,262.7487223,141.06744073764364,345,7687,44.96,20.84,55.22,34.34,4618,651
Baltimore,MD,132.4652045,44.74341710507346,292.9864839,88.94926676609482,1681,3845,59.18,17.779999999999994,67.82,50.18,4727,80
Hagerstown,MD,111.0228858,26.094388319068923,295.44756010000003,76.5670079862798,789,5326,52.52,19.58,62.24,42.8,4727,326
Boston,MA,102.600172,75.29271497610381,223.8305557,122.00293079245085,561,6392,48.92,20.48,59.18,38.84,4882,554
Springfield,MA,107.81838540000001,60.3096201033085,282.9091583,118.57685742484271,427,6719,47.66,20.48,57.92,37.58,4775,466
Worcester,MA,94.18106876,53.89566068228866,186.310767,88.39391052915494,479,6873,47.48,22.28,58.64,36.32,4868,409
Detroit,MI,101.2383264,75.88267604825963,225.4428301,107.99619658807276,731,6335,49.64,18.32,58.82,40.46,3756,573
Grand Rapids,MI,144.67043569999998,11.963471494507624,321.89304189999996,36.32788516315942,698,6485,49.1,17.779999999999994,57.92,40.28,3875,626
Flint,MI,150.0130806,187.86860661012508,331.14354669999994,221.66424672157703,493,6958,47.3,21.74,58.28,36.32,3167,286
Lansing,MI,99.88213019,41.853297337350924,222.96673450000003,73.94964540793455,666,6589,48.74,18.14,57.74,39.74,3559,508
Minneapolis,MN,104.6946719,53.568951139755924,223.8726337,81.9137600693085,605,7912,44.96,18.86,54.32,35.6,3116,539
Rochester,MN,100.0059074,47.942542995925464,218.8219421,75.67980287355789,467,8222,43.7,23.0,55.22,32.18,3387,458
