city,city_ascii,lat,lng,pop,country,iso2,iso3,province,abbr
Calais,Calais,45.16598859,-67.24239201,1781.5,United States of America,US,USA,Maine,#N/A
Houlton,Houlton,46.12551658,-67.83971989,6051.5,United States of America,US,USA,Maine,#N/A
Presque Isle,Presque Isle,46.79340863,-68.00216476,9466,United States of America,US,USA,Maine,#N/A
Bar Harbor,Bar Harbor,44.38789654,-68.20437464,4483.5,United States of America,US,USA,Maine,#N/A
Bangor,Bangor,44.80115297,-68.77834477,40843,United States of America,US,USA,Maine,#N/A
Waterville,Waterville,44.5518917,-69.64578536,20529,United States of America,US,USA,Maine,#N/A
Augusta,Augusta,44.31056276,-69.77998906,21301,United States of America,US,USA,Maine,#N/A
Lewiston,Lewiston,44.10070477,-70.21525965,46689,United States of America,US,USA,Maine,#N/A
Portland,Portland,43.67216158,-70.2455274,99504,United States of America,US,USA,Maine,#N/A
Salem,Salem,42.5224989,-70.88309175,188982,United States of America,US,USA,Massachusetts,#N/A
New Bedford,New Bedford,41.6561253,-70.94469833,115082.5,United States of America,US,USA,Massachusetts,#N/A
Boston,Boston,42.32996014,-71.07001367,2528070.5,United States of America,US,USA,Massachusetts,#N/A
Newport,Newport,41.49039899,-71.31335799,35893,United States of America,US,USA,Rhode Island,#N/A
Lowell,Lowell,42.63368837,-71.31669112,415074,United States of America,US,USA,Massachusetts,#N/A
Providence,Providence,41.82110231,-71.4149797,663726.5,United States of America,US,USA,Rhode Island,#N/A
Manchester,Manchester,42.99599184,-71.45528731,153221.5,United States of America,US,USA,New Hampshire,#N/A
Concord,Concord,43.20807192,-71.53804712,42646.5,United States of America,US,USA,New Hampshire,#N/A
Worcester,Worcester,42.27042889,-71.80002079,232290.5,United States of America,US,USA,Massachusetts,#N/A
New London,New London,41.3555235,-72.10002832,61236,United States of America,US,USA,Connecticut,#N/A
Montpelier,Montpelier,44.25997154,-72.57581323,8183,United States of America,US,USA,Vermont,#N/A
Springfield,Springfield,42.12002464,-72.57999903,287003.5,United States of America,US,USA,Massachusetts,#N/A
Hartford,Hartford,41.77002016,-72.67996708,518509.5,United States of America,US,USA,Connecticut,#N/A
New Haven,New Haven,41.33038291,-72.90000533,707883,United States of America,US,USA,Connecticut,#N/A
Waterbury,Waterbury,41.55000775,-73.05002202,174236,United States of America,US,USA,Connecticut,#N/A
Bridgeport,Bridgeport,41.17997866,-73.19996118,578545,United States of America,US,USA,Connecticut,#N/A
Burlington,Burlington,44.47579816,-73.21246688,66204,United States of America,US,USA,Vermont,#N/A
Pittsfield,Pittsfield,42.44819582,-73.25982833,45202,United States of America,US,USA,Massachusetts,#N/A
Plattsburg,Plattsburg,44.69498374,-73.45798161,24233.5,United States of America,US,USA,New York,#N/A
Stamford,Stamford,41.05334556,-73.53919112,434781.5,United States of America,US,USA,Connecticut,#N/A
Saratoga Springs,Saratoga Springs,43.08296328,-73.78501591,41891,United States of America,US,USA,New York,#N/A
Albany,Albany,42.67001691,-73.81994918,484286,United States of America,US,USA,New York,#N/A
Poughkeepsie,Poughkeepsie,41.70023114,-73.92141585,100670.5,United States of America,US,USA,New York,#N/A
Schenectady,Schenectady,42.81458173,-73.93996769,104767.5,United States of America,US,USA,New York,#N/A
New York,New York,40.74997906,-73.98001693,13524139,United States of America,US,USA,New York,#N/A
Paterson,Paterson,40.91999453,-74.17000533,151205,United States of America,US,USA,New Jersey,#N/A
Newark,Newark,40.70042137,-74.17000533,280123,United States of America,US,USA,New Jersey,#N/A
Atlantic City,Atlantic City,39.36463727,-74.4233232,58563.5,United States of America,US,USA,New Jersey,#N/A
Trenton,Trenton,40.2169625,-74.74335535,225713,United States of America,US,USA,New Jersey,#N/A
Philadelphia,Philadelphia,39.99997316,-75.16999597,3504775,United States of America,US,USA,Pennsylvania,#N/A
Utica,Utica,43.10117922,-75.23306706,81870,United States of America,US,USA,New York,#N/A
Allentown,Allentown,40.59998822,-75.50002751,300980.5,United States of America,US,USA,Pennsylvania,#N/A
Dover,Dover,39.15808657,-75.524703,54662.5,United States of America,US,USA,Delaware,#N/A
Wilmington,Wilmington,39.74626772,-75.54689803,116205.5,United States of America,US,USA,Delaware,#N/A
Scranton,Scranton,41.40929283,-75.66267908,114701,United States of America,US,USA,Pennsylvania,#N/A
Kitty Hawk,Kitty Hawk,36.07731854,-75.70471786,2109.5,United States of America,US,USA,North Carolina,#N/A
Wilkes Barre,Wilkes Barre,41.24904421,-75.87793726,99824.5,United States of America,US,USA,Pennsylvania,#N/A
Watertown,Watertown,43.97515688,-75.91106185,30938,United States of America,US,USA,New York,#N/A
Binghamton,Binghamton,42.09901817,-75.91832239,92687.5,United States of America,US,USA,New York,#N/A
Virginia Beach,Virginia Beach,36.85321433,-75.97831873,877475.5,United States of America,US,USA,Virginia,#N/A
Syracuse,Syracuse,43.04999371,-76.15001367,403873.5,United States of America,US,USA,New York,#N/A
Norfolk,Norfolk,36.84995872,-76.28000574,645336,United States of America,US,USA,Virginia,#N/A
Lancaster,Lancaster,40.03777447,-76.30576644,209489,United States of America,US,USA,Pennsylvania,#N/A
Hampton,Hampton,37.03002525,-76.34994979,256601.5,United States of America,US,USA,Virginia,#N/A
Annapolis,Annapolis,38.9783301,-76.49249923,58776,United States of America,US,USA,Maryland,#N/A
Ithaca,Ithaca,42.44057355,-76.4969434,45544.5,United States of America,US,USA,New York,#N/A
Baltimore,Baltimore,39.29999005,-76.61998499,1432946,United States of America,US,USA,Maryland,#N/A
York,York,39.96292116,-76.72804041,128798.5,United States of America,US,USA,Pennsylvania,#N/A
Elmira,Elmira,42.09012982,-76.80803552,46201,United States of America,US,USA,New York,#N/A
Harrisburg,Harrisburg,40.27359987,-76.88474919,289210,United States of America,US,USA,Pennsylvania,#N/A
St. Charles,St. Charles,38.60305585,-76.93893193,52792,United States of America,US,USA,Maryland,#N/A
Williamsport,Williamsport,41.24108604,-77.0013829,43791.5,United States of America,US,USA,Pennsylvania,#N/A
"Washington, D.C.","Washington, D.C.",38.89954938,-77.00941858,2445216.5,United States of America,US,USA,District of Columbia,#N/A
Alexandria,Alexandria,38.82043276,-77.09998153,127273,United States of America,US,USA,Virginia,#N/A
Greenville,Greenville,35.61287661,-77.3666836,81661,United States of America,US,USA,North Carolina,#N/A
Petersburg,Petersburg,37.22776512,-77.40223698,76158.5,United States of America,US,USA,Virginia,#N/A
Jacksonville,Jacksonville,34.75432436,-77.43055567,72651.5,United States of America,US,USA,North Carolina,#N/A
Richmond,Richmond,37.55001935,-77.449986,551443,United States of America,US,USA,Virginia,#N/A
Fredericksburg,Fredericksburg,38.30351341,-77.46078638,76848,United States of America,US,USA,Virginia,#N/A
Rochester,Rochester,43.17042564,-77.61994979,483177,United States of America,US,USA,New York,#N/A
Hagerstown,Hagerstown,39.64164878,-77.72027958,58487.5,United States of America,US,USA,Maryland,#N/A
Rocky Mount,Rocky Mount,35.93799888,-77.79076624,57179,United States of America,US,USA,North Carolina,#N/A
State College,State College,40.79372316,-77.8602452,64880.5,United States of America,US,USA,Pennsylvania,#N/A
Wilmington,Wilmington,34.22551943,-77.94502039,126992,United States of America,US,USA,North Carolina,#N/A
Goldsboro,Goldsboro,35.38513857,-77.99305363,42922.5,United States of America,US,USA,North Carolina,#N/A
Winchester,Winchester,39.1787313,-78.16663477,39418,United States of America,US,USA,Virginia,#N/A
Altoona,Altoona,40.51859784,-78.39496708,62784.5,United States of America,US,USA,Pennsylvania,#N/A
Charlottesville,Charlottesville,38.02918907,-78.47692591,61314,United States of America,US,USA,Virginia,#N/A
Raleigh,Raleigh,35.81878135,-78.64469344,789991.5,United States of America,US,USA,North Carolina,#N/A
Cumberland,Cumberland,39.65317263,-78.76277409,20831.5,United States of America,US,USA,Maryland,#N/A
Harrisonburg,Harrisonburg,38.44942181,-78.86917586,42131.5,United States of America,US,USA,Virginia,#N/A
Buffalo,Buffalo,42.87997825,-78.88000208,647778.5,United States of America,US,USA,New York,#N/A
Fayetteville,Fayetteville,35.06293601,-78.88359359,184040.5,United States of America,US,USA,North Carolina,#N/A
Myrtle Beach,Myrtle Beach,33.68891136,-78.8869784,37333.5,United States of America,US,USA,South Carolina,#N/A
Durham,Durham,35.99995892,-78.91999964,257114.5,United States of America,US,USA,North Carolina,#N/A
Johnstown,Johnstown,40.32708498,-78.92222172,45821.5,United States of America,US,USA,Pennsylvania,#N/A
Lumberton,Lumberton,34.62720034,-79.01190617,27049.5,United States of America,US,USA,North Carolina,#N/A
Niagara Falls,Niagara Falls,43.09482302,-79.0369434,117567,United States of America,US,USA,New York,#N/A
Lynchburg,Lynchburg,37.4136194,-79.14246668,84581,United States of America,US,USA,Virginia,#N/A
Jamestown,Jamestown,42.09736452,-79.23553593,37916.5,United States of America,US,USA,New York,#N/A
Danville,Danville,36.58625388,-79.39531946,43176,United States of America,US,USA,Virginia,#N/A
Florence,Florence,34.19567629,-79.76279057,43977.5,United States of America,US,USA,South Carolina,#N/A
Greensboro,Greensboro,36.07000633,-79.80002344,310328,United States of America,US,USA,North Carolina,#N/A
Roanoke,Roanoke,37.27119916,-79.94161686,144669.5,United States of America,US,USA,Virginia,#N/A
Morgantown,Morgantown,39.62981488,-79.95606043,43882.5,United States of America,US,USA,West Virginia,#N/A
Charleston,Charleston,32.79237693,-79.99210474,254295,United States of America,US,USA,South Carolina,#N/A
Pittsburgh,Pittsburgh,40.4299986,-79.99998539,1535267.5,United States of America,US,USA,Pennsylvania,#N/A
Erie,Erie,42.12992067,-80.08499313,138991.5,United States of America,US,USA,Pennsylvania,#N/A
West Palm Beach,West Palm Beach,26.74501996,-80.12362126,675521.5,United States of America,US,USA,Florida,#N/A
