name,id,CDD,HDD,Tavg,Trange,Tmax,Tmin,Prcp,Snow
"Birmingham, AL US",CITY:US010004,1933,2770,62.78,22.46,73.94,51.44,5712,8
"Huntsville, AL US",CITY:US010012,1540,3517,59.540000000000006,23.9,71.42,47.66,5582,24
"Mobile, AL US",CITY:US010014,2537,1656,67.46,18.68,76.64,58.1,6528,2
"Montgomery, AL US",CITY:US010015,2113,2278,64.58,23.54,76.28,52.879999999999995,5280,0
"Tuscaloosa, AL US",CITY:US010019,2348,2338,64.94,22.64,76.28,53.78,5046,2
"Anchorage, AK US",CITY:US020001,3,10201,37.04,14.0,44.06,30.02,1667,821
"Fairbanks, AK US",CITY:US020002,41,13504,28.04,21.02,38.660000000000004,17.6,1218,644
"Juneau, AK US",CITY:US020003,-7777,9302,39.56,10.940000000000001,44.96,33.98,11687,823
"Mesa, AZ US",CITY:US040008,3592,1462,70.88,27.68,84.56,57.02,943,0
"Phoenix, AZ US",CITY:US040011,3741,1359,71.42,34.34,88.7,54.32,876,0
"Tucson, AZ US",CITY:US040014,1946,2486,63.5,37.22,82.04,44.96,1390,23
"Yuma, AZ US",CITY:US040015,3811,1129,72.32,29.84,87.26,57.379999999999995,368,0
"Conway, AR US",CITY:US050004,1843,3472,60.440000000000005,22.82,71.96,49.1,4908,41
"Fayetteville, AR US",CITY:US050006,1517,4013,58.28,20.84,68.54,47.66,4553,43
"Fort Smith, AR US",CITY:US050008,2053,3244,61.7,22.28,72.86,50.54,5041,46
"Jonesboro, AR US",CITY:US050012,1735,3846,59.18,21.92,70.16,48.2,4823,48
"Little Rock, AR US",CITY:US050013,2170,3006,62.78,18.68,71.96,53.24,5468,44
"Los Angeles, CA US",CITY:US060013,1638,880,67.1,22.64,78.44,55.76,2297,0
"San Diego, CA US",CITY:US060030,1241,1909,63.14,21.92,74.12,52.16,1677,1
"San Francisco, CA US",CITY:US060031,174,2701,58.1,19.4,67.82,48.379999999999995,2674,0
"San Jose, CA US",CITY:US060032,395,2735,58.64,30.2,73.75999999999999,43.519999999999996,5048,1
"Colorado Springs, CO US",CITY:US080003,6,9474,39.02,27.32,52.879999999999995,25.34,1882,249
"Denver, CO US",CITY:US080004,15,8879,40.64,31.64,56.66,24.8,1773,857
"Fort Collins, CO US",CITY:US080006,250,7381,45.32,22.64,56.66,34.16,2162,1661
"Pueblo, CO US",CITY:US080010,1092,5195,53.78,30.56,69.08,38.48,1302,193
"Bridgeport, CT US",CITY:US090001,745,5650,51.44,18.86,60.980000000000004,42.08,5110,276
"Hartford, CT US",CITY:US090003,603,6318,49.28,21.92,60.26,38.48,5344,313
"New Haven, CT US",CITY:US090004,745,5650,51.44,18.86,60.980000000000004,42.08,5110,310
"Stamford, CT US",CITY:US090008,799,5443,52.34,21.92,63.14,41.36,5004,312
"Waterbury, CT US",CITY:US090010,754,5678,51.44,20.84,61.88,41.0,5110,310
"Dover, DE US",CITY:US100001,1314,4269,56.84,18.86,66.38,47.48,4605,157
